time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11
29,1,0.144957554,5.65745349,1.706914265,7.35294118,0.136543881,16.04534567,14.75848992,10.94215322,-2.044154229,13.53874648,15.93200394
30,1,0.144957554,5.52267284,1.991096661,7.0624098,-0.149287499,15.65116433,13.72215349,10.79770471,-1.751364407,13.53874648,15.84711194
31,1,0,5.52267284,2.162232742,7.0624098,-0.149287499,15.25785336,12.89047803,10.39840013,-2.044154229,12.95081708,15.68882988
32,1,0,5.39446885,2.538826834,6.76838178,-0.149287499,13.94263787,12.26297717,10.52149977,-2.33665143,12.06135884,15.48292394
33,1,0,5.39446885,2.81490015,6.76838178,-0.212111589,13.1520872,11.84706293,10.26297735,-2.352941176,11.47321408,15.25998835
34,1,-0.257495442,5.39446885,2.91936001,6.77940259,-0.212111589,12.37038007,11.2271932,9.99711622,-2.352941176,10.88507602,14.40285
35,1,0,5.39446885,3.193169575,6.79774772,-0.212111589,12.11198613,10.8113883,9.75286612,-2.352941176,10.29694544,14.20793161
36,1,0,5.27308776,3.303290714,6.79774772,-0.212111589,11.45482439,10.41243824,9.75286612,-2.33665143,9.70882324,13.86255146
37,1,0,5.27308776,3.422247684,6.82338308,0.077257795,10.91771662,9.77922885,9.36667617,-2.628747721,9.12989665,13.80973759
38,1,0,4.886903714,3.813720038,6.50447483,0.077257795,10.38997112,9.58182971,8.98219332,-2.352941176,8.54219345,13.13540001
39,1,-0.257495442,4.776923611,3.422247684,6.79774772,0.077257795,9.73232916,9.58182971,8.4395996,-2.33665143,7.94451829,12.73507463
40,1,-0.257495442,5.05176911,3.422247684,6.79774772,0.077257795,9.46867515,9.38773507,8.4395996,-2.33665143,7.35294118,13.02775638
41,1,0,5.05176911,3.156132132,7.36693885,0.32669714,8.94502305,9.42376451,8.29073356,-2.33665143,6.47435835,12.66910388
42,1,-0.257495442,5.05176911,3.033235461,7.66073132,0.32669714,8.68516485,9.23966875,8.29073356,-2.628747721,6.48566129,12.66910388
43,1,-0.257495442,4.674637767,3.033235461,7.38441369,0.32669714,8.57090823,9.29423868,8.0244646,-2.57464375,6.17647059,12.3753594
44,1,-0.257495442,4.580292632,3.033235461,7.38441369,0.32669714,8.31674285,9.29423868,8.0244646,-2.57464375,5.88235294,12.0689625
45,1,-0.257495442,4.580292632,2.764928696,7.38441369,0.302281287,8.46853311,9.12071045,7.89094529,-2.858791209,5.59231947,12.35543352
46,1,-0.657404982,4.212035155,2.892004626,7.67780121,0.008643049,8.37831225,9.19403354,8.0244646,-2.858791209,5.29831847,12.35543352
47,1,-0.788876158,4.212035155,2.63007163,7.67780121,0.32669714,8.13359621,9.03160052,8.0244646,-2.760066734,5.0172861,12.65686002
48,1,-0.788876158,4.131867468,2.370567109,7.66073132,0.034483167,7.65047833,8.62498214,7.7594188,-2.760066734,4.723691326,12.65686002
49,1,-0.903415213,4.131867468,1.859943406,7.95453856,0.034483167,7.41232226,8.46853311,7.7594188,-2.858791209,4.430129142,12.64950963
50,1,-0.999567497,4.131867468,1.859943406,7.95453856,0.008643049,7.17661267,8.46853311,7.7594188,-2.858791209,4.430129142,12.94117647
51,1,-0.999567497,4.060542236,1.457205412,7.97122181,0.008643049,6.94349441,8.21894415,7.7594188,-2.858791209,4.122389658,12.94117647
52,1,-1.075981158,4.060542236,1.314973692,7.99454237,0.008643049,6.76470588,8.0642543,7.89094529,-2.760066734,4.416359173,12.64705882
53,1,-1.075981158,4.060542236,1.056253024,7.97122181,0.302281287,6.76470588,8.0642543,8.41705262,-2.760066734,3.828430012,12.64705882
54,1,-1.131486342,4.060542236,1.056253024,7.99454237,0.302281287,6.53076223,8.0642543,7.7594188,-2.760066734,3.823529412,12.64950963
55,1,-1.131486342,4.060542236,0.6574659,7.97122181,0.302281287,6.29963101,8.0642543,7.89094529,-2.760066734,3.823529412,12.64705882
56,1,-1.458354536,4.060542236,0.6574659,7.97122181,0.302281287,6.07148837,8.0642543,7.89094529,-2.858791209,3.529411765,12.64950963
57,1,-1.458354536,4.060542236,0.6574659,7.97122181,0.294117647,5.84652289,8.0642543,7.89094529,-2.858791209,3.823529412,13.32048412
58,1,-1.458354536,4.060542236,0.261336418,8.24835956,0,5.65745349,8.0642543,7.89094529,-2.760066734,3.529411765,13.42641777
59,1,-1.458354536,4.347205048,0.261336418,8.26467328,0.008643049,5.65745349,8.0642543,7.23331432,-2.760066734,3.529411765,13.38647013
60,1,-1.470588235,4.347205048,0.261336418,8.26467328,0.302281287,5.65745349,8.0642543,7.23331432,-2.760066734,3.823529412,13.35114999
61,1,-1.470588235,4.347205048,0.261336418,8.26467328,0.302281287,5.65745349,7.66073132,7.37043579,-2.760066734,3.823529412,13.13540001
62,1,-1.751364407,4.347205048,0.261336418,8.28747882,0.302281287,5.65745349,7.66073132,7.51296905,-2.760066734,3.823529412,13.18065819
63,1,-1.751364407,4.347205048,0.261336418,8.28747882,0.302281287,5.65745349,7.66073132,7.37043579,-2.760066734,3.823529412,13.18065819
64,1,-1.751364407,4.416359173,0.525968891,8.28747882,0.302281287,5.43185168,7.66073132,7.23331432,-2.879087485,3.823529412,13.23054967
65,1,-1.458354536,4.416359173,0.6574659,8.28747882,0.302281287,5.43185168,7.66073132,7.23331432,-2.879087485,4.117647059,12.8444839
66,1,-1.458354536,4.416359173,0.91900347,8.26467328,0.302281287,5.65745349,7.76958432,7.23331432,-3.026998843,4.411764706,12.89047803
67,1,-1.470588235,4.347205048,0.91900347,8.24835956,0.302281287,5.65745349,7.76958432,7.49567399,-3.026998843,4.411764706,12.60042859
68,1,-1.470588235,4.347205048,0.6574659,8.54219345,0.59596988,5.84652289,7.76958432,7.49567399,-3.026998843,4.411764706,12.31051643
69,1,-1.470588235,4.347205048,0.91900347,8.53260832,0.59596988,5.84652289,7.76958432,7.49567399,-2.628747721,4.705882353,12.31051643
70,1,-1.470588235,4.347205048,0.91900347,8.54219345,0.294117647,5.62493639,7.62994738,7.63337153,-2.879087485,4.705882353,12.22033079
71,1,-1.176470588,4.347205048,0.793445766,7.97122181,0.302281287,5.62493639,7.62994738,7.63337153,-3.026998843,4.411764706,11.89065178
72,1,-1.176470588,4.060542236,0.793445766,7.99454237,0.302281287,5.43185168,7.62994738,7.63337153,-3.026998843,4.411764706,11.92901933
73,1,-1.165175056,4.347205048,0.525968891,7.73227107,0.302281287,5.43185168,7.37043579,7.63337153,-3.026998843,4.411764706,11.59876595
74,1,-1.165175056,4.347205048,0.6574659,7.70166052,0.302281287,5.20973821,7.23331432,7.7594188,-3.026998843,4.411764706,11.59876595
75,1,-1.165175056,4.416359173,0.91900347,7.40883712,0.302281287,5.43185168,7.23331432,7.49567399,-3.026998843,4.122389658,11.01523928
76,1,-1.165175056,4.131867468,0.91900347,7.38441369,0.302281287,5.62493639,7.10178859,7.7594188,-2.879087485,4.416359173,10.72360753
77,1,-0.871862104,4.131867468,0.91900347,7.38441369,0.294117647,5.62493639,7.10178859,7.7594188,-2.879087485,4.416359173,10.52149977
78,1,-0.871862104,4.416359173,0.91900347,7.38441369,0.294117647,5.62493639,7.10178859,7.63337153,-2.879087485,4.416359173,10.52149977
79,1,-0.882352941,4.416359173,0.91900347,7.67780121,0.294117647,5.82257029,7.10178859,7.63337153,-2.879087485,4.122389658,10.63256737
80,1,-0.882352941,4.416359173,0.6574659,7.99454237,0.294117647,5.62493639,6.83800694,7.36693885,-2.628747721,4.411764706,11.05031018
81,1,-0.882352941,4.416359173,0.525968891,7.97122181,0.294117647,5.62493639,6.97604298,7.36693885,-2.628747721,4.117647059,11.12290597
82,1,-0.578442242,4.416359173,0.261336418,7.95453856,0.294117647,5.62493639,6.97604298,7.24391664,-2.628747721,4.117647059,11.20051689
83,1,-0.578442242,4.701425001,0.261336418,8.24835956,0.302281287,5.40694471,6.97604298,7.51296905,-2.369331791,4.411764706,11.56485628
84,1,-0.578442242,4.987015792,0.261336418,8.24835956,0.302281287,5.40694471,6.97604298,7.78312577,-2.369331791,4.411764706,12.11451356
85,1,-0.257495442,4.987015792,0.39928228,8.24835956,0.59596988,5.40694471,7.10178859,8.05431825,-2.628747721,4.416359173,11.93668241
86,1,-0.257495442,4.987015792,0.6574659,8.54219345,0.588235294,5.62493639,7.10178859,8.05431825,-2.628747721,4.416359173,12.31551298
87,1,-0.257495442,4.987015792,0.6574659,8.53260832,0.588235294,5.62493639,7.10178859,8.32648325,-2.879087485,4.710337658,12.53395125
88,1,-0.257495442,4.987015792,0.793445766,8.53260832,0.588235294,5.62493639,7.10178859,8.87350166,-2.879087485,5.00432432,12.31551298
89,1,-0.257495442,4.987015792,0.793445766,8.82665797,0.59596988,5.40694471,7.10178859,8.87350166,-2.879087485,5.29411765,12.14985851
90,1,-0.257495442,4.987015792,0.793445766,9.11764706,0.59596988,5.1927785,7.36693885,8.77023519,-2.628747721,5.29831847,12.69601054
