time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14
50,1,5.286567727,4.591833401,7.825232243,-0.455992872,1.492021841,10.00750037,3.236542857,7.243916645,9.492847472,5.093879308,11.30696032,6.556989826,3.549671679,3.744746322
51,1,5.344163596,4.55473618,7.89728445,-0.448689512,1.444445108,9.604586096,3.035194476,6.931428537,9.529473949,5.034727283,10.98009142,6.272804645,3.41197038,3.959733066
52,1,5.430967577,4.575776821,7.695610561,-0.63473635,1.48033283,9.893781618,3.132003386,7.061759965,9.43128863,4.693114499,10.6878063,5.989142172,3.240544545,4.347205048
53,1,5.4845486,4.517747845,7.493943169,-0.702692784,1.503458549,9.960258131,3.08374088,6.92592034,9.149412452,4.477851111,10.36465634,5.706043955,3.076194246,4.471318934
54,1,5.323700723,4.619530707,7.493943169,-0.659210343,1.503458549,9.870403247,2.889888239,7.013792855,9.047456573,4.660893456,10.07191527,5.510334344,3.076194246,4.471318934
55,1,5.234574763,4.684691662,7.762570227,-0.48358647,1.555715288,9.29163283,2.849149658,7.12335634,9.059718092,4.447120582,10.04606537,5.230898312,3.324100999,4.471318934
56,1,5.186406141,4.506380019,7.665307932,-0.483719483,1.534615633,9.128653458,2.65593251,6.860054387,9.031862189,4.392419867,10.04606537,4.952308421,3.324100999,4.471318934
57,1,5.295986293,4.375176021,7.688032124,-0.547882798,1.580219507,8.691364089,2.584255049,6.751584186,8.963818106,4.186777248,9.752866122,5.051769112,3.076194246,4.207338731
58,1,5.286567727,4.375176021,7.652231425,-0.766924826,1.580219507,8.630704225,2.563793794,6.644064447,8.963818106,4.140204018,9.438750245,5.051769112,2.831486445,4.342576573
59,1,5.401959861,4.347269317,7.513310484,-0.829095579,1.482454954,8.38372937,2.314551419,6.477444324,8.774565627,4.082002327,9.129896646,5.051769112,2.831486445,4.342576573
60,1,5.383018551,4.421450797,7.479123667,-0.913987062,1.570175411,8.470822272,2.272256668,6.444320519,8.694165586,4.068624272,8.823529412,5.051769112,2.764928696,4.342576573
61,1,5.268294409,4.485632817,7.339831591,-1.014560574,1.767549843,8.246351228,2.120015946,6.553818622,8.58275892,4.098470769,8.532608318,4.776923611,2.831486445,4.342576573
62,1,5.347763114,4.453468675,7.270382379,-1.056378184,1.865450449,8.18677636,1.906454644,6.487626027,8.527860455,4.146675276,8.238561688,4.503232013,2.590287,4.485009116
63,1,5.178484538,4.289065911,7.270382379,-1.056378184,1.961055644,8.068838532,1.914642011,6.269484814,8.487129867,4.084379536,8.248359564,4.503232013,2.831486445,4.634317267
64,1,5.260229468,4.214113864,7.341597656,-1.068165396,2.058994416,7.275001949,1.712985718,6.241890153,8.215844824,4.037220656,7.954538556,4.503232013,2.590287,4.634317267
65,1,5.440454731,4.081878502,7.172373487,-1.176098559,2.21004615,7.480995165,1.551961591,6.178099297,8.042308347,3.947389376,8.248359564,4.230796957,2.423193802,4.790186457
66,1,5.404491386,3.912268371,7.039118685,-1.341410803,2.011248309,7.462513958,1.53728916,5.998465955,7.778509374,3.951279982,7.677801213,4.122389658,2.423193802,4.790186457
67,1,5.453028807,3.912268371,7.253365786,-1.323529412,2.116223594,7.565571957,1.600473723,5.82218573,7.576646978,3.858406018,7.701660519,4.122389658,2.264170021,4.790186457
