time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16,chloroplast17,chloroplast18
-16,0,8.833694288,12.96065668,8.259422089,9.956499143,14.62362502,6.60670557,10.23259654,18.10508939,17.55385306,14.77380743,12.29301717,15.39828339,10.72360753,13.72215349,16.76669307,17.6298636,24.03881188,26.07363729
-15,0,8.855085662,13.20069509,8.09153957,9.361909231,14.57871611,6.80742474,10.38268973,18.59157373,17.88879725,14.42290233,12.48949264,15.52300591,11.01523928,13.52007234,16.76470588,17.37034926,24.03881188,26.07363729
-14,0,8.899587037,13.20069509,7.782117053,9.290488458,14.27692224,6.877959019,10.83103031,18.38749276,18.09581721,14.49625108,12.68867642,16.04534567,11.30696032,13.30631332,16.77265356,17.6298636,24.03881188,26.07363729
-13,0,8.767486173,13.30530651,7.674863038,10.12592123,14.22314956,7.029420754,10.66852182,17.94751023,18.11191347,14.49625108,12.27299631,16.17851297,11.30696032,13.30158728,16.78258407,18.01834683,24.03881188,26.16120603
-12,0,8.964651646,13.15175547,7.88770668,9.990651002,14.2647685,7.014917379,10.53865249,17.6055959,18.3486175,14.33362168,12.07402973,16.04534567,11.56485628,13.51072821,16.48871113,17.75566016,24.29683427,26.16120603
-11,0,9.074689546,13.13860488,7.889176574,10.3509715,14.0197693,7.315078968,10.5110464,17.6083565,18.55910055,14.33362168,11.65859089,16.44034937,11.51255159,13.30631332,16.50279615,17.62412896,24.29683427,25.97185909
-10,0,9.249961722,12.98462648,8.032398705,10.24149538,13.97970597,7.358739011,10.62021076,17.06802923,18.73531234,14.66193519,11.44167631,15.91753457,11.78790964,13.1043687,15.9154667,17.49567432,24.29683427,26.06528453
-9,0,9.031856024,13.31331008,8.079967279,9.907470924,13.92458347,7.358739011,10.53104598,16.63564677,18.94754536,14.18089087,11.24317797,15.79725827,11.76728566,12.68867642,15.8906363,17.51681417,24.03881188,26.06528453
-8,0,9.074689546,13.35468506,8.149226328,9.44304462,13.92458347,7.300527811,10.60561677,16.45111482,19.16565682,14.59141469,11.26978434,15.53985913,11.76728566,12.47464797,15.59663694,17.39933266,24.03881188,25.78696754
-7,0,9.272583568,13.52567397,7.840072229,8.598941825,14.31382353,7.214074147,10.25705886,16.45375224,19.10250581,14.59141469,11.26978434,15.28345841,11.80593486,12.47464797,15.59033603,16.85988727,24.00453371,25.88375347
-6,0,9.31519231,13.13012075,7.698254791,7.93909037,14.85348583,7.121039734,10.006947,16.26992609,19.36655058,15.00216251,11.49420576,15.39828339,12.08162776,12.26297717,15.30264101,16.85988727,23.97320084,25.88375347
-5,0,9.118841521,13.35062622,7.768997578,7.720147146,15.20474115,7.009685123,9.947143835,15.94491457,19.1485634,14.42067532,11.35463385,15.14008037,12.0689625,12.47464797,15.29624882,16.7428348,23.97320084,25.60661213
-4,0,9.076271409,13.39648842,7.626213252,7.501622348,15.11324293,6.938174246,10.60561677,15.67680529,19.07389464,14.66193519,11.53610917,15.39828339,11.80593486,12.26297717,15.00864865,16.47260265,23.94482282,25.60661213
-3,0,8.601116819,13.46421485,7.412736155,7.641072455,15.23949787,6.8181804,10.66852182,14.98059805,19.07989134,14.66193519,11.72078871,15.39828339,11.49420576,12.47464797,15.00864865,16.32302231,23.94482282,25.32979053
-2,0,8.230426484,13.28707255,6.87085163,7.756207828,14.84171094,6.896322598,11.07033572,15.06193218,18.97088035,14.66193519,11.72078871,15.53985913,11.78790964,12.27299631,15.01945421,16.20300625,23.94482282,25.15530734
-1,0,8.167309052,13.33118945,6.75682007,7.820300757,14.69493501,6.933587943,11.622365,15.63060929,19.01651481,14.42067532,11.94944651,15.43006469,11.80593486,12.68867642,15.31329018,16.47260265,23.6519503,25.05329752
0,0,8.266711078,12.65050892,6.675029134,7.450774663,14.87478077,6.733538782,11.6611871,15.91170426,18.55187878,14.44175244,11.58833959,15.57983022,11.20051689,12.47464797,15.30264101,16.32302231,23.6519503,24.77714225
1,1,8.682003941,12.69173267,6.901490769,8.190282939,14.97038441,6.620836826,11.44983929,15.86836731,18.27725528,14.18348568,11.41271345,15.94026766,10.89324245,12.67889286,15.59033603,16.98025223,23.35910355,24.5013342
2,1,8.745329893,12.71369717,7.294173156,7.974885169,14.77256448,6.620836826,11.54222807,15.88545959,18.30547645,13.90300293,11.31491559,16.0864098,10.90684386,12.88564211,15.29624882,17.51681417,23.38806709,24.5013342
3,1,8.943714478,12.7600549,7.282906826,8.246948392,14.67655827,6.65408986,11.6709758,16.46356408,18.03104361,13.98294146,11.31491559,16.45446615,10.59100974,13.0948099,15.30264101,17.51681417,23.42004507,24.39999765
4,1,8.814922227,12.73509874,7.223958582,8.555760787,14.72562663,6.613193074,11.58750491,16.51224985,17.84089297,13.79102151,11.72337527,16.31490698,10.88235294,12.67889286,15.31329018,17.7860517,23.42004507,24.30126301
5,1,8.614512169,12.73699333,7.191777424,8.811311177,14.52964849,6.541166311,11.58750491,16.63921271,17.85190566,13.80628806,11.65079983,16.57508816,10.29694544,12.89047803,15.62182134,17.39933266,23.38806709,24.30126301
6,1,8.598469058,12.72102581,6.709428963,8.618675409,14.29487285,6.260446472,11.63280355,16.80382194,17.8802713,13.46314897,11.41271345,16.71297509,10.59100974,12.89047803,15.62182134,17.51681417,23.71227026,24.12358822
7,1,8.598469058,12.49505615,6.404067211,8.618675409,14.20590888,5.920017404,11.78742756,17.10797813,17.73926966,12.87293865,11.65079983,16.59712912,10.88507602,13.1043687,15.34733007,17.6699655,23.71227026,23.84752902
8,1,8.435425224,12.37189338,6.078334201,8.141181371,13.75386209,5.581181838,11.96834242,17.30199669,17.34822684,12.87293865,12.06135884,16.34127051,10.90684386,12.68867642,15.66372714,17.7860517,23.74689693,23.74689693
9,1,8.122476689,12.13456759,5.940590943,7.945677322,13.42316385,5.373854583,12.14985851,17.26067408,17.18370684,12.82508244,12.30051902,16.34127051,10.63256737,12.92911842,15.64068948,18.17378306,23.45502735,23.74689693
10,1,7.906977707,11.98575573,5.409927925,7.488797364,12.90373356,5.22028471,11.81295917,17.29089277,17.21982011,12.71507209,12.2353945,16.19688558,10.6878063,12.92911842,15.30264101,18.56247677,23.45502735,23.64893097
11,1,7.512807021,11.98575573,5.100523681,7.288631231,12.27286582,5.30568631,11.70355146,17.29089277,17.39402185,12.21650446,12.64705882,16.34127051,10.6878063,12.29301717,15.29624882,18.4428555,23.16320454,23.37130233
12,1,7.053946736,11.87643568,4.686660507,6.713122207,12.05380194,5.325698524,11.7398365,17.19791616,17.30670312,11.63217943,12.41265896,16.48871113,10.6878063,11.44167631,14.70588235,18.4428555,23.201573,23.37130233
13,1,6.560790227,11.23035618,4.638194358,6.600276996,11.40813205,5.315611083,11.54883666,16.92722072,17.15807259,11.35624115,12.41265896,16.48871113,10.657449,11.0260385,14.41176471,18.71252279,22.91019955,23.2750945
14,1,6.090577943,11.09409448,4.268742767,6.447388976,10.69326407,4.799119413,11.22128759,16.76172476,17.15807259,11.19064056,12.18009631,16.0864098,10.36465634,10.827793,14.11990937,18.98276486,22.91019955,23.2750945
15,1,5.602650522,11.08597683,4.152125932,6.314931801,9.935533004,4.634317267,11.05906593,16.44243297,16.69350813,10.88168511,12.18009631,16.0864098,9.84930066,10.41243824,13.53174588,19.2535625,22.66113534,23.2750945
16,1,5.327676392,11.03366047,4.220083432,6.118677115,9.568160669,4.630378235,10.94398656,16.32520458,15.42085509,10.70187704,11.89065178,15.57983022,9.558080789,9.779228855,13.24477932,19.14095,22.66113534,22.99684856
