time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16
60,1,1.991096661,2.352941176,7.56471139,10.41243824,8.873501665,2.63007163,8.300493005,8.271193144,13.88088688,14.08821263,7.356442081,10.26297735,26.42107154,24.88443717,21.30997022,15.93200394
61,1,1.991096661,2.058823529,7.56471139,10.63256737,8.873501665,2.63007163,8.300493005,7.984552973,13.84419821,14.08821263,7.356442081,10.14063256,26.83135709,24.59501735,21.282008,15.75770587
62,1,1.991096661,2.064948323,7.56471139,10.44047617,8.58046633,2.63007163,8.300493005,8.271193144,13.55040827,13.9266477,7.356442081,10.52985739,27.17733088,24.30569108,21.25731073,15.86370335
63,1,1.991096661,1.771096725,7.56471139,10.21756861,8.558153614,2.63007163,8.212398497,7.984552973,13.24477932,13.9266477,7.356442081,10.40963164,27.35294118,24.01646114,21.25731073,15.59033603
64,1,1.991096661,1.771096725,7.670976017,10.44047617,8.851660987,2.63007163,8.212398497,7.984552973,13.24477932,13.9266477,7.356442081,10.40963164,28.53457133,23.96424236,20.94244361,15.54617553
65,1,1.991096661,1.771096725,7.670976017,10.44047617,8.558153614,2.63007163,8.212398497,8.054318248,12.95081708,13.76830133,7.356442081,10.40963164,28.48552339,23.86851232,20.94244361,15.54617553
66,1,1.719799799,1.477269278,7.56471139,10.63256737,8.558153614,2.370567109,7.847252746,7.769584321,12.95081708,13.76830133,7.356442081,10.14063256,28.44157742,23.53395961,20.64901504,15.39828339
67,1,1.84100197,1.477269278,7.670976017,10.63256737,8.558153614,2.370567109,7.847252746,7.847252746,12.66910388,13.36293092,7.126781252,10.14063256,28.85548363,23.49300284,20.67092791,15.13148819
68,1,1.84100197,1.477269278,7.670976017,10.85509644,8.264673275,2.234337574,7.769584321,7.847252746,12.3753594,13.36293092,6.899957838,10.14063256,29.23155427,23.42004507,20.37776865,15.13148819
69,1,1.576670522,1.477269278,7.670976017,10.85509644,8.558153614,1.972511524,7.485285457,7.847252746,12.3629084,13.36293092,7.126781252,10.40963164,29.23155427,23.12785933,20.40332104,14.86546446
70,1,1.576670522,1.764705882,7.398375828,10.85509644,8.558153614,1.972511524,7.485285457,7.56471139,12.0689625,13.20918434,7.126781252,10.40963164,29.23155427,22.80306423,20.08463184,14.86546446
71,1,1.576670522,1.477269278,7.670976017,10.63256737,8.558153614,1.713360124,7.412322262,7.56471139,12.0689625,13.20918434,7.126781252,10.29411765,29.45698386,22.77349063,20.11048252,14.86546446
72,1,1.84100197,1.771096725,7.670976017,10.85509644,8.558153614,1.859943406,7.485285457,7.370435791,11.76728566,12.95804414,7.126781252,10.56602191,29.45698386,23.09554879,20.06220634,14.86546446
73,1,1.84100197,2.058823529,7.56471139,10.63256737,8.851660987,1.859943406,7.485285457,7.370435791,11.77502263,12.80565984,7.356442081,10.56602191,29.19868671,22.77349063,20.06220634,14.60024363
74,1,1.719799799,2.058823529,7.56471139,10.63256737,8.558153614,1.609472075,7.201452066,7.370435791,11.76728566,13.05891933,7.356442081,10.45727452,28.78386421,22.80306423,19.74961116,14.33585872
75,1,1.719799799,2.058823529,7.56471139,10.61041707,8.851660987,1.609472075,7.28271354,7.091061642,11.48108909,12.80565984,7.540591533,10.45727452,29.19868671,22.5106145,19.45601942,14.73001157
76,1,1.719799799,2.058823529,7.840517619,10.61041707,8.58046633,1.771096725,7.001297508,7.091061642,11.49420576,12.65686002,7.769584321,10.18342294,28.40275355,22.5106145,19.44009695,14.73001157
77,1,1.609472075,2.058823529,7.840517619,10.39559097,8.58046633,1.771096725,6.918117406,7.187264327,11.49420576,12.80565984,7.540591533,10.18342294,27.98841151,22.18799094,19.44009695,14.99351106
78,1,1.885117595,2.064948323,7.742458248,10.39559097,8.287478821,1.771096725,6.918117406,7.187264327,11.48108909,12.80565984,7.356442081,10.45727452,28.36906966,22.45395642,19.13378226,15.12504164
79,1,1.609472075,2.083290929,7.742458248,10.39559097,8.287478821,1.530471562,6.918117406,7.187264327,11.18716224,12.65686002,7.540591533,10.45727452,27.95430411,22.18799094,19.13378226,15.25998835
80,1,1.609472075,1.771096725,7.56471139,10.39559097,7.994542373,1.609472075,6.841660082,7.015704833,11.17914416,12.65686002,7.540591533,10.45727452,27.80038189,22.18799094,18.85256038,15.25998835
81,1,1.609472075,2.064948323,7.464482412,10.39559097,7.994542373,1.362737545,6.841660082,7.015704833,11.17914416,12.55367448,7.126781252,11.11217168,27.57411034,21.89528586,18.85256038,15.25998835
82,1,1.609472075,2.064948323,7.464482412,10.39559097,8.024464603,1.204418562,6.485661288,7.243916645,11.17647059,12.55367448,7.126781252,11.11217168,27.31682476,21.8679328,18.57532286,15
83,1,1.609472075,1.771096725,7.464482412,10.39559097,8.024464603,1.204418562,6.421463435,7.243916645,10.88507602,12.55367448,6.899957838,11.38633915,27.12486452,21.8679328,18.28178521,14.86328706
84,1,1.885117595,1.790233165,7.464482412,10.39559097,7.732271072,1.204418562,6.421463435,7.243916645,10.88507602,12.40272023,6.899957838,11.38633915,27.31682476,21.84377461,18.57532286,14.46738911
85,1,1.991096661,1.790233165,7.464482412,10.39559097,7.701660519,0.800906742,6.36451711,7.366938848,10.89324245,12.40272023,6.676137201,11.38633915,27.09523027,21.84377461,18.59549544,14.60245024
86,1,1.991096661,1.497271187,7.464482412,10.8113883,7.701660519,0.800906742,6.36451711,7.366938848,10.89324245,12.40272023,6.45549535,11.38633915,26.90193668,22.16093266,18.57532286,14.60245024
87,1,1.885117595,1.530471562,7.840517619,10.8113883,7.701660519,0.6574659,6.024508714,7.495673992,10.88507602,12.40272023,6.45549535,11.28307122,26.87480918,22.16093266,18.57532286,14.74096964
88,1,1.885117595,1.497271187,7.840517619,10.8113883,7.408837123,0.6574659,6.024508714,7.495673992,10.88507602,12.40272023,6.45549535,11.55963325,26.45959126,22.1370353,18.57532286,15.14008037
89,1,1.885117595,1.204418562,7.840517619,10.8113883,7.677801213,0.39928228,6.024508714,7.629947384,10.89324245,12.40272023,6.45549535,11.55963325,26.24022338,22.11630723,18.28178521,14.88287504
90,1,1.609472075,1.204418562,7.840517619,10.8113883,7.677801213,0.549400666,6.024508714,7.629947384,10.89324245,12.40272023,6.26128807,11.83679033,26.04439282,22.40980806,18.28178521,15.02809445
