time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16,chloroplast17
6,1,4.485009116,9.194033544,7.345936389,5.846522891,7.176612673,7.286234455,8.845414466,18.71252279,10.89324245,8.378312254,15.90098589,14.07234451,11.27244258,20.29582758,21.8808083,19.39049392,20.40332104
7,1,4.634317267,8.901532115,7.412322262,5.559601806,7.176612673,7.233314319,8.558153614,18.83079047,10.85509644,8.378312254,15.9154667,13.98824987,11.24317797,20.00173004,21.60098601,19.39049392,19.98788634
8,1,4.384150667,8.352422897,7.412322262,5.273087763,6.590623821,7.233314319,8.845414466,19.09970638,10.6657341,8.468533108,15.9154667,13.98824987,11.21919492,19.70588235,21.8808083,19.39049392,19.77057357
9,1,4.230796957,8.352422897,7.345936389,4.987015792,6.257446594,6.653889857,8.910863048,18.71252279,10.6657341,8.468533108,15.64068948,14.35374574,11.21919492,19.70588235,21.60098601,19.39049392,19.34078981
10,1,3.828430012,7.813541712,6.943494414,4.987015792,6.257446594,6.896322598,8.910863048,18.83079047,10.6657341,8.624982143,15.64068948,14.07234451,11.20051689,19.41176471,21.60098601,19.14632441,19.34078981
11,1,3.828430012,7.233314319,7.187264327,4.701425001,6.098801332,6.896322598,8.982193322,18.83079047,10.02592915,8.624982143,15.07770372,14.07234451,11.49420576,19.41176471,21.60098601,19.31234183,19.12840506
12,1,4.230796957,7.769584321,7.187264327,4.634317267,5.945761215,6.564472501,8.624982143,18.56247677,9.387735069,8.468533108,14.81314093,14.07234451,11.49420576,19.11764706,21.69350581,19.07097349,19.33368093
13,1,4.084379536,7.769584321,6.823383084,4.634317267,5.543204899,5.981267472,8.054318248,18.68514638,9.166581857,8.169772457,14.81314093,13.79133276,11.49420576,19.41176471,21.69350581,19.07097349,18.91775122
14,1,3.828430012,7.478354962,6.211246207,4.347205048,5.543204899,5.689871674,7.769584321,18.68514638,8.75137615,7.914410824,14.55384722,14.07234451,11.49420576,19.11764706,21.41497426,19.00259502,18.70887443
15,1,3.813720038,6.943494414,5.898239596,4.060542236,5.543204899,5.361126443,7.485285457,18.41885793,8.532608318,7.370435791,14.59141469,13.70597484,11.17914416,19.41176471,21.41497426,19.00259502,18.29292926
16,1,3.813720038,6.653889857,5.898239596,3.99826973,5.289915109,5.068966334,7.201452066,18.41885793,8.532608318,7.370435791,14.59141469,13.70597484,10.58823529,19.41353643,21.41497426,19.00259502,17.8769841
17,1,3.422247684,6.709428963,5.592319474,3.99826973,5.141729206,5.068966334,6.635317909,18.15324306,8.532608318,6.972430845,14.63331679,13.62487082,10.29411765,19.41353643,21.41497426,19.00259502,17.6699655
18,1,3.303290714,6.485661288,5.298318471,3.710054644,4.886903714,4.74590678,6.635317909,17.88832525,8.31674285,6.83800694,14.67952583,13.62487082,10.29411765,19.41353643,21.23423897,19.00259502,17.04901743
19,1,3.193169575,5.914103127,5.298318471,3.365566267,4.485009116,4.74590678,6.272804645,17.36067977,7.901007176,6.575687444,14.38947026,13.5480765,10,19.41353643,20.95744455,18.52941176,16.84603248
20,1,2.91936001,5.914103127,5,3.134892168,4.342576573,4.453034518,5.914103127,17.09800442,7.901007176,6.180339887,14.00873957,13.47564562,10,19.41353643,20.58147308,18.70705004,16.6331477
21,1,2.538826834,5.559601806,5,2.787177821,4.084379536,4.453034518,5.914103127,17.09800442,7.688032124,6.180339887,13.71753244,13.47564562,10.00288323,19.11944039,20.58147308,19.17675683,16.6291486
22,1,2.264170021,5.273087763,4.705882353,2.498558108,4.084379536,4.16024206,5.62900647,16.96647335,7.688032124,6.180339887,13.13540001,13.19017188,9.708823235,19.11944039,20.4849165,18.94124874,16.42218557
23,1,2.162232742,4.921839878,4.411764706,2.210382748,4.084379536,3.867537313,5.62900647,16.70301272,7.485285457,6.051937781,13.42641777,13.19017188,9.708823235,19.41353643,20.20675748,18.47419993,16.21728094
24,1,2.162232742,4.634317267,4.411764706,1.922707233,3.828430012,3.901615265,4.987015792,16.30881845,7.286234455,5.786541659,13.13540001,13.19017188,9.414765594,19.41353643,20.02766635,18.47419993,16.00626039
25,1,2.440653318,4.347205048,4.117647059,1.866245606,3.828430012,3.610165393,4.987015792,16.30881845,7.091061642,5.786541659,13.13540001,13.12108447,9.705882353,19.12481959,19.92896482,18.29478609,16.00626039
26,1,2.352941176,4.347205048,3.823529412,1.822007944,3.685190035,3.610165393,4.634317267,16.04534567,7.091061642,5.522672835,12.55367448,12.76918526,9.414765594,19.12481959,20.20675748,18.06152445,15.80141731
27,1,2.352941176,4.286854943,3.828430012,2.113756837,3.427381636,3.365566267,4.634317267,16.30881845,6.676137201,5.522672835,12.22033079,13.05652409,9.414765594,19.11944039,19.92896482,17.88265537,15.59873682
28,1,2.352941176,4.286854943,3.534481252,2.113756837,3.287648708,3.365566267,4.347205048,16.30881845,6.870844747,5.522672835,11.92901933,13.05652409,9.423764512,18.82352941,19.6515509,17.94306176,15.79725827
29,1,2.440653318,4.347205048,3.549671679,2.083290929,3.549671679,3.365566267,4.347205048,16.30881845,6.653889857,5.657453489,11.63780662,13.05652409,8.836039396,18.82352941,19.6515509,17.770861,15.80141731
30,1,2.440653318,4.286854943,3.549671679,2.376433061,3.287648708,3.365566267,4.416359173,16.30881845,6.45549535,5.398629135,11.59876595,12.70822732,8.851660987,18.82534488,19.37452865,17.36067977,15.59033603
31,1,2.720238087,4.575776821,3.256275793,2.083290929,3.287648708,3.422247684,4.131867468,15.9154667,6.45549535,5.398629135,10.98009142,12.3629084,8.558153614,18.52941176,19.09791158,16.88361793,15.59033603
32,1,2.720238087,4.525961612,3.256275793,2.083290929,3.287648708,3.365566267,4.131867468,15.9154667,6.26128807,5.398629135,10.98009142,12.3629084,8.264673275,18.23529412,18.72164124,16.47260265,15.385557
33,1,2.81490015,4.525961612,2.962933159,2.064948323,3.027849449,3.076194246,3.848005269,15.65116433,6.26128807,5.289915109,10.36465634,12.6519601,8.558153614,18.23529412,18.44470045,16.23562001,15.18298643
34,1,2.81490015,4.525961612,2.962933159,2.352941176,3.027849449,3.134892168,3.848005269,14.86546446,6.45549535,5.038851862,9.779228855,12.6519601,8.264673275,18.23715555,18.44470045,16.30069772,14.98269147
35,1,3.193169575,5.107553104,2.962933159,2.352941176,3.027849449,3.134892168,3.848005269,14.07234451,6.238219514,5.038851862,9.486600419,12.70822732,8.264673275,18.52941176,18.44470045,16.06178093,15.18298643
36,1,3.193169575,5.068966334,2.669649888,2.647058824,3.027849449,2.848037685,3.774372877,13.80973759,5.82257029,5.038851862,9.194033544,12.70822732,7.971221807,18.23529412,18.3467172,15.8906363,15.385557
37,1,3.193169575,5.038851862,2.669649888,2.647058824,2.63007163,2.848037685,3.488746876,13.80973759,5.82257029,4.790186457,9.227513673,12.99653946,7.971221807,18.23529412,18.25204162,15.82427716,15.385557
38,1,3.193169575,5.038851862,2.669649888,2.652712842,2.63007163,2.848037685,3.488746876,13.41467746,5.624936393,4.790186457,8.901532115,13.05652409,7.701660519,17.94117647,17.97320539,15.41312082,14.76724423
39,1,3.193169575,5.038851862,2.405693125,2.652712842,2.63007163,3.134892168,3.422247684,13.28503652,5.624936393,4.634317267,9.194033544,13.05652409,7.732271072,17.94306176,17.97320539,15.41312082,14.98269147
40,1,3.092244995,5.038851862,2.697795487,2.652712842,2.498558108,2.848037685,3.422247684,13.15923417,5.624936393,4.634317267,8.901532115,12.48207188,7.440168225,17.6489686,18.25204162,15.17655634,14.78474125
41,1,3.092244995,4.74590678,2.405693125,2.652712842,2.498558108,2.561741254,3.134892168,12.8928955,5.624936393,4.485009116,8.901532115,11.90856747,7.148162605,17.65469695,17.97320539,15.35370621,14.58920683
42,1,3.370734983,4.74590678,2.405693125,2.962933159,2.498558108,2.561741254,3.134892168,12.62744008,5.608640469,4.485009116,8.901532115,11.55702111,6.856261395,17.36067977,17.79174561,15.1207428,14.58920683
43,1,3.370734983,5.038851862,2.113756837,2.962933159,2.498558108,2.276068751,2.848037685,12.2353945,5.406944714,4.485009116,8.901532115,11.55702111,6.856261395,17.06666527,17.79174561,15.1207428,14.39616129
44,1,3.744746322,5.017286098,2.113756837,2.669649888,2.107674102,2.276068751,2.848037685,12.11198613,5.406944714,4.230796957,8.609100354,11.20852439,6.856261395,17.07646354,17.51489319,15.30264101,14.20567967
45,1,3.744746322,5.017286098,2.113756837,2.697795487,2.107674102,2.071067812,2.848037685,12.2353945,5.406944714,4.230796957,8.287478821,10.92043365,6.896322598,16.77265356,17.34132825,15.07339474,14.20567967
46,1,3.744746322,5.004324325,1.790233165,2.697795487,2.107674102,2.162232742,2.561741254,11.9698491,5.192778501,4.230796957,8.287478821,10.86327831,6.653889857,16.77265356,17.23848405,15.48714679,13.79133276
47,1,3.848005269,5.298318471,1.790233165,2.737027316,2.107674102,2.071067812,2.276068751,11.70526097,5.192778501,3.979022072,8.264673275,10.52149977,6.653889857,16.77265356,17.23848405,15.71599018,13.79133276
48,1,4.122389658,5.298318471,1.790233165,2.737027316,2.107674102,1.790233165,2.276068751,11.70526097,5.192778501,4.136602686,8.287478821,10.47405463,6.709428963,16.47864474,16.8618658,15.76603895,13.79133276
49,1,4.122389658,5.298318471,1.530471562,3.027849449,1.991096661,1.790233165,1.991096661,11.70526097,5.192778501,4.060542236,8.287478821,10.47405463,6.709428963,16.48871113,16.8618658,16.00008239,13.56672247
50,1,4.122389658,5.298318471,1.530471562,3.027849449,2.107674102,1.706914265,1.635596572,11.57790667,4.98268397,4.300816648,7.994542373,10.47405463,6.421463435,16.18463895,16.58510957,16.00008239,13.56672247
51,1,4.300816648,5.298318471,1.530471562,3.027849449,1.84100197,1.510571653,1.349127396,11.45482439,4.98268397,4.235481452,8.024464603,10.18342294,6.421463435,16.19484497,16.58510957,16.06178093,13.56672247
52,1,4.300816648,5.604562575,1.239177481,3.027849449,1.84100197,1.510571653,1.349127396,11.33611068,4.98268397,4.060542236,8.024464603,9.892928119,6.133819547,16.20912515,16.30881845,16.13148817,13.3440778
53,1,4.580292632,5.604562575,1.239177481,3.027849449,1.576670522,1.510571653,1.349127396,11.33611068,4.98268397,4.060542236,7.732271072,9.892928119,6.133819547,16.20912515,16.13762778,16.13148817,13.3440778
54,1,4.674637767,5.898239596,1.239177481,2.787177821,1.450503588,1.232241206,1.14135677,10.95029043,4.98268397,3.823529412,7.732271072,9.84930066,6.133819547,15.93407018,16.13762778,16.13148817,13.12347118
55,1,4.674637767,5.886326778,1.239177481,2.787177821,1.450503588,1.335488008,1.063390626,10.95029043,4.776923611,4.003075215,7.440168225,9.84930066,6.133819547,15.93407018,16.13762778,15.8906363,13.12347118
56,1,4.776923611,5.886326778,1.239177481,3.134892168,1.314973692,1.063390626,1.063390626,10.83872002,4.776923611,4.003075215,7.148162605,9.558080789,6.199666332,15.64068948,16.13762778,15.8906363,13.12347118
57,1,4.776923611,5.588235294,1.287517155,3.134892168,1.183469424,0.793445766,1.063390626,10.83872002,4.361076743,4.18852903,7.148162605,9.266979807,5.914103127,15.66372714,15.86370335,15.65116433,12.92911842
58,1,4.776923611,5.588235294,1.287517155,3.203720989,1.183469424,1.063390626,1.063390626,10.73185779,4.361076743,4.18852903,7.148162605,9.266979807,6.133819547,15.39828339,15.86370335,15.65116433,12.92911842
59,1,4.776923611,5.592319474,1.287517155,3.203720989,1.183469424,1.063390626,1.063390626,10.45727452,4.361076743,3.774372877,7.116076426,9.227513673,6.199666332,15.43006469,15.75770587,15.41312082,12.70822732
60,1,5.051769112,5.592319474,1.063390626,3.203720989,1.183469424,1.063390626,1.063390626,10.45727452,4.361076743,3.774372877,7.116076426,9.266979807,5.914103127,15.13793267,15.48292394,15.41312082,12.5142058
61,1,5.051769112,5.882352941,1.063390626,3.203720989,1.183469424,1.183469424,1.063390626,10.45727452,4.16024206,3.964559208,6.823383084,8.935714989,5.914103127,15.17441252,15.37919083,15.24076533,12.5142058
62,1,4.952308421,5.882352941,0.778494913,3.134892168,1.063390626,0.91900347,0.998846487,10.18342294,4.16024206,3.964559208,6.823383084,8.935714989,5.62900647,15.17441252,15.37919083,14.83059745,12.5142058
63,1,4.952308421,5.886326778,0.778494913,3.134892168,1.063390626,0.91900347,0.998846487,10.29411765,4.16024206,3.964559208,6.856261395,8.644015888,5.914103127,15.17441252,15.10353822,14.83059745,12.32300509
64,1,4.952308421,5.592319474,0.778494913,2.848037685,1.183469424,0.793445766,1.349127396,10.29411765,4.16024206,3.964559208,7.148162605,8.935714989,5.914103127,15.13793267,15.10353822,14.83059745,12.54874575
65,1,4.860620361,5.898239596,0.778494913,2.848037685,1.183469424,0.793445766,1.063390626,10.14063256,4.150793639,3.964559208,7.187264327,8.935714989,6.199666332,14.8458593,14.82841622,14.83059745,12.59305462
66,1,4.860620361,5.898239596,0.778494913,2.848037685,0.91900347,0.793445766,1.063390626,10.40963164,4.150793639,3.964559208,7.187264327,9.227513673,6.199666332,14.8458593,14.82841622,14.83059745,12.59305462
67,1,4.860620361,5.898239596,1.063390626,2.848037685,1.183469424,1.063390626,1.063390626,10.14063256,4.150793639,3.964559208,7.187264327,9.194033544,6.199666332,14.55384722,14.93501553,14.59141469,12.82508244
68,1,4.860620361,5.898239596,1.063390626,3.134892168,1.063390626,0.793445766,1.063390626,10.14063256,4.150793639,3.964559208,7.187264327,9.227513673,5.914103127,14.52063942,14.82841622,14.52950035,12.2353945
69,1,5.230898312,5.898239596,1.063390626,2.91936001,1.063390626,0.793445766,0.998846487,10.02305034,4.150793639,3.964559208,6.856261395,9.519405938,5.914103127,14.49181356,14.55384722,14.35374574,12.18009631
70,1,5.230898312,6.191939759,1.063390626,2.91936001,0.793445766,0.793445766,1.063390626,10.02305034,4.150793639,3.964559208,6.856261395,9.227513673,5.914103127,14.49181356,14.55384722,14.35374574,11.76728566
71,1,5.327676392,6.191939759,1.14135677,2.635738227,0.793445766,0.91900347,0.778494913,10.02305034,4.150793639,3.964559208,6.856261395,9.227513673,5.62900647,14.46738911,14.55384722,14.18089087,11.76728566
72,1,5.327676392,6.191939759,1.14135677,2.635738227,0.793445766,0.91900347,0.998846487,9.91034336,4.150793639,3.945239015,6.856261395,8.901532115,5.62900647,14.46738911,14.27985484,14.11764706,11.76728566
73,1,4.952308421,6.180339887,1.14135677,2.352941176,0.793445766,0.793445766,0.998846487,10.02305034,3.945239015,3.945239015,6.823383084,8.901532115,5.62900647,14.74096964,14.38947026,14.29555231,11.76728566
74,1,4.952308421,6.180339887,1.14135677,2.352941176,0.793445766,0.6574659,0.998846487,10.14063256,3.945239015,3.744746322,6.530762226,8.935714989,5.706043955,14.74096964,14.27985484,14.29555231,11.35463385
75,1,4.952308421,6.180339887,0.860252602,2.635738227,0.793445766,0.6574659,0.998846487,9.997116216,3.744746322,3.744746322,6.530762226,8.609100354,5.706043955,14.44738265,14.27985484,14.06327109,11.58833959
76,1,4.952308421,6.191939759,1.14135677,2.635738227,0.525968891,0.525968891,0.998846487,9.997116216,3.744746322,3.744746322,6.530762226,8.609100354,5.706043955,14.43180783,14.27985484,14.47627427,11.35463385
77,1,4.952308421,6.191939759,1.14135677,2.561741254,0.525968891,0.39928228,0.998846487,10.1263422,3.744746322,3.744746322,6.211246207,8.609100354,5.706043955,14.43180783,14.11764706,14.47627427,11.35463385
78,1,5.230898312,6.180339887,1.232241206,2.635738227,0.40728715,0.39928228,0.998846487,9.863857375,3.529411765,3.744746322,6.211246207,8.31674285,5.510334344,14.15381195,14.00646403,14.65973526,11.12290597
79,1,5.327676392,6.180339887,0.95542845,2.635738227,0.40728715,0.39928228,0.710731717,9.73232916,3.529411765,3.945239015,6.211246207,8.31674285,5.510334344,14.46738911,13.8992045,14.8458593,10.94215322
80,1,5.510334344,6.474358355,0.95542845,2.635738227,0.136543881,0.39928228,0.710731717,9.468675149,3.529411765,3.734848473,6.211246207,8.287478821,5.790550781,14.76067886,13.8992045,15.0345722,10.94215322
81,1,5.510334344,6.191939759,1.063390626,2.352941176,0.025884556,0.144957554,0.710731717,9.339554992,3.529411765,3.734848473,6.191939759,8.264673275,5.510334344,15.0345722,13.62487082,14.62009421,10.76481563
82,1,5.510334344,6.191939759,1.063390626,2.440653318,0.025884556,0.144957554,0.423261445,9.339554992,3.329295446,3.734848473,6.191939759,8.264673275,5.706043955,14.74096964,13.73370111,14.20567967,10.59100974
83,1,5.510334344,6.191939759,1.063390626,2.440653318,0.025884556,0.144957554,0.423261445,9.339554992,3.329295446,3.734848473,6.191939759,8.264673275,5.510334344,14.72562663,13.62487082,14.01783901,10.59100974
84,1,5.510334344,6.504474833,1.063390626,2.720238087,0.025884556,0.144957554,0.423261445,9.339554992,3.329295446,3.529411765,6.191939759,8.264673275,5.510334344,14.72562663,13.35114999,13.79133276,10.35339192
85,1,5.510334344,6.504474833,1.063390626,2.720238087,0.025884556,0.144957554,0.423261445,8.948124355,3.329295446,3.529411765,6.180339887,8.248359564,5.510334344,14.72562663,13.35114999,13.37705806,10.35339192
86,1,5.510334344,6.779402585,1.063390626,2.81490015,0.025884556,0.302281287,0.367143409,8.948124355,3.134892168,3.529411765,5.886326778,8.248359564,5.510334344,15.01945421,13.24477932,13.1520872,10.52985739
87,1,5.510334344,7.073162207,1.063390626,2.81490015,0.025884556,0.302281287,0.367143409,8.948124355,3.329295446,3.529411765,5.886326778,8.238561688,5.790550781,14.72562663,13.24477932,12.96286057,10.35339192
88,1,5.510334344,7.062409797,1.063390626,2.81490015,0.025884556,-0.104906771,0.367143409,8.948124355,3.329295446,3.529411765,5.592319474,8.238561688,5.510334344,15.01945421,13.14255355,12.96286057,10.59100974
89,1,5.141729206,7.073162207,1.063390626,2.81490015,0.025884556,-0.104906771,0.077257795,8.682003941,3.329295446,3.318903308,5.604562575,8.235294118,5.510334344,15.0345722,13.14255355,12.73751327,10.35339192
90,1,5.141729206,7.073162207,1.063390626,2.81490015,0.025884556,-0.104906771,0.077257795,8.558153614,3.329295446,3.318903308,5.604562575,7.944518285,5.510334344,15.0345722,12.86628535,12.92911842,10.180574
