time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13
17,1,2.764928696,9.19403354,1.470588235,7.38441369,8.41382853,7.07316221,9.23966875,4.701425001,0.549400666,21.66756775,18.98276486,18.16071426,15.12504164
18,1,2.764928696,8.60910035,1.470588235,7.09106164,8.41382853,6.66501883,8.82665797,4.634317267,0.549400666,21.6334857,18.56247677,17.52257614,15
19,1,2.892004626,8.3524229,1.477269278,7.07316221,8.2123985,6.18033989,8.82665797,4.921839878,0.549400666,21.66756775,18.4428555,17.10778879,14.88287504
20,1,2.63007163,8.06094312,1.477269278,7.07316221,7.93114585,5.77049025,8.47174411,4.575776821,0.302281287,21.34118698,18.32632948,16.88559432,14.48293548
21,1,2.63007163,8.06094312,1.477269278,7.09106164,7.65047833,5.77049025,8.23529412,4.634317267,0.95542845,21.34118698,17.94117647,16.88559432,14.62670661
22,1,2.764928696,8.06094312,1.470588235,7.09106164,7.56471139,5.36112644,8.23529412,4.634317267,0.95542845,21.37564673,17.6699655,16.69304578,14.22593764
23,1,2.764928696,7.81354171,1.470588235,7.09106164,7.56471139,5.36112644,8.00119771,4.634317267,0.95542845,21.08377507,17.39933266,16.47058824,14.22593764
24,1,2.764928696,7.76958432,1.470588235,7.09106164,7.28271354,5.53089046,8.00119771,4.701425001,1.204418562,20.53916864,17.7860517,16.24987279,14.08368023
25,1,2.892004626,7.76958432,1.470588235,7.09106164,7.09106164,5.29411765,8.00119771,4.634317267,1.204418562,19.95670992,17.6699655,15.61552813,13.42641777
26,1,2.892004626,7.73227107,1.470588235,7.38441369,7.28271354,5.29411765,7.82366433,4.634317267,0.800906742,19.66558338,17.28511381,15.61552813,13.02775638
27,1,2.892004626,8.0244646,1.470588235,7.11607643,7.00129751,5.0603714,7.82366433,4.634317267,0.800906742,19.70938351,17.0136793,15.41947642,13.02775638
28,1,2.892004626,8.06094312,1.470588235,7.11607643,7.00129751,5.0603714,8.06094312,4.987015792,1.056253024,19.51784182,16.85988727,15.41947642,12.65686002
29,1,2.892004626,8.0244646,1.470588235,7.11607643,6.7205052,5.29411765,8.06094312,4.987015792,1.204418562,19.57246891,16.59112018,15.20012333,12.11198613
