consecutive,period,fold,cor,mae,rmse,no_perfect,no_data,no_data_full
4,14,1,0.801699782194862,2.5655737704918,4.94477700934341,57,122,127
5,14,1,0.797107244152589,3.16521739130435,5.83393371651544,50,115,127
1,15,1,0.701571695470121,7.1496062992126,9.05712405032592,6,127,127
2,15,1,0.766254215706762,4.47244094488189,6.75907089547659,40,127,127
3,15,1,0.828477713586632,2.5952380952381,4.793348566106,58,126,127
4,15,1,0.814290459966089,2.47107438016529,4.79927680502382,57,121,127
5,15,1,0.807778295638422,3.06140350877193,5.68392624370335,50,114,127
1,1,1.1,0.342920564352131,8.22047244094488,11.2172533025489,16,127,127
2,1,1.1,0.428667567945244,5.36220472440945,9.09572885834703,50,127,127
3,1,1.1,0.770096868573473,3.04724409448819,5.97303652712176,65,127,127
4,1,1.1,0.799462190683565,2.5327868852459,5.07404194300207,63,122,127
5,1,1.1,0.800432673264634,3,5.80179882150505,57,115,127
1,2,1.1,0.435701106008571,6.81102362204724,10.0051168011535,29,127,127
2,2,1.1,0.494747817444766,5.40157480314961,8.862910419403,44,127,127
3,2,1.1,0.743423881795297,3.24409448818898,6.3481660815093,60,127,127
4,2,1.1,0.793192110712977,2.68032786885246,5.16371324012377,57,122,127
5,2,1.1,0.784563749554874,3.25217391304348,6.16864441454064,50,115,127
1,3,1.1,0.597152953162957,5.46456692913386,8.53985561109014,30,127,127
2,3,1.1,0.634319770309472,4.26771653543307,7.55556842158341,50,127,127
3,3,1.1,0.77130588049771,3.17322834645669,6.06331423625389,58,127,127
4,3,1.1,0.784663213656425,2.68032786885246,5.17005881946437,57,122,127
5,3,1.1,0.792996053232206,3.17391304347826,5.91313938541147,50,115,127
1,4,1.1,0.650366736344611,4.96850393700787,7.91340933126137,29,127,127
2,4,1.1,0.693128958338179,3.88188976377953,6.93331566724986,52,127,127
3,4,1.1,0.794528043637479,2.77165354330709,5.67353297143436,62,127,127
4,4,1.1,0.79191755526606,2.68852459016393,5.16291949432858,56,122,127
5,4,1.1,0.797450584601509,3.23478260869565,5.91681465420153,49,115,127
1,5,1.1,0.721139183985395,4.81889763779528,7.33881923176579,24,127,127
2,5,1.1,0.75225728988223,3.49606299212598,6.30585279938876,53,127,127
3,5,1.1,0.818704012082042,2.46031746031746,4.87950036474267,63,126,127
4,5,1.1,0.79536161620103,2.66393442622951,5.14940709622214,57,122,127
5,5,1.1,0.79577154120001,3.17391304347826,5.86144365656878,50,115,127
1,6,1.1,0.716597313179834,5.06299212598425,7.48699660145751,16,127,127
2,6,1.1,0.779008354943635,3.55905511811024,6.06526187190653,49,127,127
3,6,1.1,0.8432300992498,2.46031746031746,4.54431443132995,60,126,127
4,6,1.1,0.816423677322927,2.58196721311475,4.85443856388067,57,122,127
5,6,1.1,0.813807634624026,3.09565217391304,5.61829310300774,50,115,127
1,7,1.1,0.723581559777752,5.25196850393701,7.5893626344279,14,127,127
2,7,1.1,0.787786693907052,3.64566929133858,6.04510604428195,46,127,127
3,7,1.1,0.851614759952444,2.42063492063492,4.41767733270245,59,126,127
4,7,1.1,0.812785209635433,2.59836065573771,4.86792782521222,57,122,127
5,7,1.1,0.815258183446561,3.08695652173913,5.58803068679135,50,115,127
1,8,1.1,0.726400675921556,5.45669291338583,7.70775251411835,9,127,127
2,8,1.1,0.726980994641166,3.80314960629921,6.63977515984001,47,127,127
3,8,1.1,0.84940798315889,2.48412698412698,4.47124853839098,58,126,127
4,8,1.1,0.80639775160412,2.61475409836066,4.88473701827488,57,122,127
5,8,1.1,0.816638144745938,3.07826086956522,5.55916790770768,50,115,127
1,9,1.1,0.763417392832425,5.5748031496063,7.53260628735599,9,127,127
2,9,1.1,0.820293461825804,3.45669291338583,5.6714508135669,47,127,127
3,9,1.1,0.867583434042944,2.29365079365079,4.13751708383755,59,126,127
4,9,1.1,0.828659641816949,2.40983606557377,4.56465393800784,58,122,127
5,9,1.1,0.817946387665674,3.0695652173913,5.53172667437573,50,115,127
1,10,1.1,0.745493877288736,5.94488188976378,7.91440429063303,9,127,127
2,10,1.1,0.803952399316326,3.91338582677165,6.08793824919276,44,127,127
3,10,1.1,0.857013413279288,2.42857142857143,4.33150144429213,58,126,127
4,10,1.1,0.829967835021223,2.4672131147541,4.61909791775088,57,122,127
5,10,1.1,0.799812020056783,3.16521739130435,5.90799016807636,50,115,127
1,11,1.1,0.746226923063635,6.10236220472441,8.02702129473578,8,127,127
2,11,1.1,0.807568071919635,3.90551181102362,6.05226579553828,44,127,127
3,11,1.1,0.856241560583629,2.43650793650794,4.3415672687644,58,126,127
4,11,1.1,0.823953388505615,2.48360655737705,4.63680924774785,57,122,127
5,11,1.1,0.812287675840425,3.10434782608696,5.64993266600893,50,115,127
1,12,1.1,0.755941407399006,6.30708661417323,8.11773600182191,7,127,127
2,12,1.1,0.828405106134974,3.96850393700787,5.91275146790898,43,127,127
3,12,1.1,0.857218087115791,2.45238095238095,4.37071785902209,58,126,127
4,12,1.1,0.823953388505615,2.48360655737705,4.63680924774785,57,122,127
5,12,1.1,0.813807634624026,3.09565217391304,5.61829310300774,50,115,127
